date,time,county,deaths,cases
2020-02-08,17,Cherokee,0,0
2020-02-08,17,Greenville,0,0
2020-02-08,17,Greenwood,0,0
2020-02-08,17,Laurens,0,0
2020-02-08,17,Oconee,0,0
2020-02-08,17,Pickens,0,0
2020-02-08,17,Spartanburg,0,0
2020-02-08,17,Union,0,0
2020-02-09,18,Abbeville,0,0
2020-02-09,18,Anderson,0,0
2020-02-09,18,Cherokee,0,0
2020-02-09,18,Greenville,0,0
2020-02-09,18,Greenwood,0,0
2020-02-09,18,Laurens,0,0
2020-02-09,18,Oconee,0,0
2020-02-09,18,Pickens,0,0
2020-02-09,18,Spartanburg,0,0
2020-02-09,18,Union,0,0
2020-02-10,19,Abbeville,0,0
2020-02-10,19,Anderson,0,0
2020-02-10,19,Cherokee,0,0
2020-02-10,19,Greenville,0,0
2020-02-10,19,Greenwood,0,0
2020-02-10,19,Laurens,0,0
2020-02-10,19,Oconee,0,0
2020-02-10,19,Pickens,0,0
2020-02-10,19,Spartanburg,0,0
2020-02-10,19,Union,0,0
2020-02-11,20,Abbeville,0,0
2020-02-11,20,Anderson,0,0
2020-02-11,20,Cherokee,0,0
2020-02-11,20,Greenville,0,0
2020-02-11,20,Greenwood,0,0
2020-02-11,20,Laurens,0,0
2020-02-11,20,Oconee,0,0
2020-02-11,20,Pickens,0,0
2020-02-11,20,Spartanburg,0,0
2020-02-11,20,Union,0,0
2020-02-12,21,Abbeville,0,0
2020-02-12,21,Anderson,0,0
2020-02-12,21,Cherokee,0,0
2020-02-12,21,Greenville,0,0
2020-02-12,21,Greenwood,0,0
2020-02-12,21,Laurens,0,0
2020-02-12,21,Oconee,0,0
2020-02-12,21,Pickens,0,0
2020-02-12,21,Spartanburg,0,0
2020-02-12,21,Union,0,0
2020-02-13,22,Abbeville,0,0
2020-02-13,22,Anderson,0,0
2020-02-13,22,Cherokee,0,0
2020-02-13,22,Greenville,0,0
2020-02-13,22,Greenwood,0,0
2020-02-13,22,Laurens,0,0
2020-02-13,22,Oconee,0,0
2020-02-13,22,Pickens,0,0
2020-02-13,22,Spartanburg,0,0
2020-02-13,22,Union,0,0
2020-02-14,23,Abbeville,0,0
2020-02-14,23,Anderson,0,0
2020-02-14,23,Cherokee,0,0
2020-02-14,23,Greenville,0,0
2020-02-14,23,Greenwood,0,0
2020-02-14,23,Laurens,0,0
2020-02-14,23,Oconee,0,0
2020-02-14,23,Pickens,0,0
2020-02-14,23,Spartanburg,0,0
2020-02-14,23,Union,0,0
2020-02-15,24,Abbeville,0,0
2020-02-15,24,Anderson,0,0
2020-02-15,24,Cherokee,0,0
2020-02-15,24,Greenville,0,0
2020-02-15,24,Greenwood,0,0
2020-02-15,24,Laurens,0,0
2020-02-15,24,Oconee,0,0
2020-02-15,24,Pickens,0,0
2020-02-15,24,Spartanburg,0,0
2020-02-15,24,Union,0,0
2020-02-16,25,Abbeville,0,0
2020-02-16,25,Anderson,0,0
2020-02-16,25,Cherokee,0,0
2020-02-16,25,Greenville,0,0
2020-02-16,25,Greenwood,0,0
2020-02-16,25,Laurens,0,0
2020-02-16,25,Oconee,0,0
2020-02-16,25,Pickens,0,0
2020-02-16,25,Spartanburg,0,0
2020-02-16,25,Union,0,0
2020-02-17,26,Abbeville,0,0
2020-02-17,26,Anderson,0,0
2020-02-17,26,Cherokee,0,0
2020-02-17,26,Greenville,0,0
2020-02-17,26,Greenwood,0,0
2020-02-17,26,Laurens,0,0
2020-02-17,26,Oconee,0,0
2020-02-17,26,Pickens,0,0
2020-02-17,26,Spartanburg,0,0
2020-02-17,26,Union,0,0
2020-02-18,27,Abbeville,0,0
2020-02-18,27,Anderson,0,0
2020-02-18,27,Cherokee,0,0
2020-02-18,27,Greenville,0,0
2020-02-18,27,Greenwood,0,0
2020-02-18,27,Laurens,0,0
2020-02-18,27,Oconee,0,0
2020-02-18,27,Pickens,0,0
2020-02-18,27,Spartanburg,0,0
2020-02-18,27,Union,0,0
2020-02-19,28,Abbeville,0,0
2020-02-19,28,Anderson,0,0
2020-02-19,28,Cherokee,0,0
2020-02-19,28,Greenville,0,0
2020-02-19,28,Greenwood,0,0
2020-02-19,28,Laurens,0,0
2020-02-19,28,Oconee,0,0
2020-02-19,28,Pickens,0,0
2020-02-19,28,Spartanburg,0,0
2020-02-19,28,Union,0,0
2020-02-20,29,Abbeville,0,0
2020-02-20,29,Anderson,0,0
2020-02-20,29,Cherokee,0,0
2020-02-20,29,Greenville,0,0
2020-02-20,29,Greenwood,0,0
2020-02-20,29,Laurens,0,0
2020-02-20,29,Oconee,0,0
2020-02-20,29,Pickens,0,0
2020-02-20,29,Spartanburg,0,0
2020-02-20,29,Union,0,0
2020-02-21,30,Abbeville,0,0
2020-02-21,30,Anderson,0,0
2020-02-21,30,Cherokee,0,0
2020-02-21,30,Greenville,0,0
2020-02-21,30,Greenwood,0,0
2020-02-21,30,Laurens,0,0
2020-02-21,30,Oconee,0,0
2020-02-21,30,Pickens,0,0
2020-02-21,30,Spartanburg,0,0
2020-02-21,30,Union,0,0
2020-02-22,31,Abbeville,0,0
2020-02-22,31,Anderson,0,0
2020-02-22,31,Cherokee,0,0
2020-02-22,31,Greenville,0,0
2020-02-22,31,Greenwood,0,0
2020-02-22,31,Laurens,0,0
2020-02-22,31,Oconee,0,0
2020-02-22,31,Pickens,0,0
2020-02-22,31,Spartanburg,0,0
2020-02-22,31,Union,0,0
2020-02-23,32,Abbeville,0,0
2020-02-23,32,Anderson,0,0
2020-02-23,32,Cherokee,0,0
2020-02-23,32,Greenville,0,0
2020-02-23,32,Greenwood,0,0
2020-02-23,32,Laurens,0,0
2020-02-23,32,Oconee,0,0
2020-02-23,32,Pickens,0,0
2020-02-23,32,Spartanburg,0,0
2020-02-23,32,Union,0,0
2020-02-24,33,Abbeville,0,0
2020-02-24,33,Anderson,0,0
2020-02-24,33,Cherokee,0,0
2020-02-24,33,Greenville,0,0
2020-02-24,33,Greenwood,0,0
2020-02-24,33,Laurens,0,0
2020-02-24,33,Oconee,0,0
2020-02-24,33,Pickens,0,0
2020-02-24,33,Spartanburg,0,0
2020-02-24,33,Union,0,0
2020-02-25,34,Abbeville,0,0
2020-02-25,34,Anderson,0,0
2020-02-25,34,Cherokee,0,0
2020-02-25,34,Greenville,0,0
2020-02-25,34,Greenwood,0,0
2020-02-25,34,Laurens,0,0
2020-02-25,34,Oconee,0,0
2020-02-25,34,Pickens,0,0
2020-02-25,34,Spartanburg,0,0
2020-02-25,34,Union,0,0
2020-02-26,35,Abbeville,0,0
2020-02-26,35,Anderson,0,0
2020-02-26,35,Cherokee,0,0
2020-02-26,35,Greenville,0,0
2020-02-26,35,Greenwood,0,0
2020-02-26,35,Laurens,0,0
2020-02-26,35,Oconee,0,0
2020-02-26,35,Pickens,0,0
2020-02-26,35,Spartanburg,0,0
2020-02-26,35,Union,0,0
2020-02-27,36,Abbeville,0,0
2020-02-27,36,Anderson,0,0
2020-02-27,36,Cherokee,0,0
2020-02-27,36,Greenville,0,0
2020-02-27,36,Greenwood,0,0
2020-02-27,36,Laurens,0,0
2020-02-27,36,Oconee,0,0
2020-02-27,36,Pickens,0,0
2020-02-27,36,Spartanburg,0,0
2020-02-27,36,Union,0,0
2020-02-28,37,Abbeville,0,0
2020-02-28,37,Anderson,0,0
2020-02-28,37,Cherokee,0,0
2020-02-28,37,Greenville,0,0
2020-02-28,37,Greenwood,0,0
2020-02-28,37,Laurens,0,0
2020-02-28,37,Oconee,0,0
2020-02-28,37,Pickens,0,0
2020-02-28,37,Spartanburg,0,0
2020-02-28,37,Union,0,0
2020-02-29,38,Abbeville,0,0
