date,time,location,growth
2020-02-19,28,Pacific West,0
2020-02-19,28,South,0
2020-02-19,28,South West,0
2020-02-20,29,Mid West,0
2020-02-20,29,Mountain West,0
2020-02-20,29,North East,0
2020-02-20,29,Other,0
2020-02-20,29,Pacific West,0
2020-02-20,29,South,0
2020-02-20,29,South West,0
2020-02-21,30,Mid West,0
2020-02-21,30,Mountain West,0
2020-02-21,30,North East,0
2020-02-21,30,Other,0
2020-02-21,30,Pacific West,0
2020-02-21,30,South,0
2020-02-21,30,South West,0
2020-02-22,31,Mid West,0
2020-02-22,31,Mountain West,0
2020-02-22,31,North East,0
2020-02-22,31,Other,0
2020-02-22,31,Pacific West,0
2020-02-22,31,South,0
2020-02-22,31,South West,0
2020-02-23,32,Mid West,0
2020-02-23,32,Mountain West,0
2020-02-23,32,North East,0
2020-02-23,32,Other,0
2020-02-23,32,Pacific West,0
2020-02-23,32,South,0
2020-02-23,32,South West,0
2020-02-24,33,Mid West,0
2020-02-24,33,Mountain West,0
2020-02-24,33,North East,0
2020-02-24,33,Other,0
2020-02-24,33,Pacific West,0
2020-02-24,33,South,0
2020-02-24,33,South West,0
2020-02-25,34,Mid West,0
2020-02-25,34,Mountain West,0
2020-02-25,34,North East,0
2020-02-25,34,Other,0
2020-02-25,34,Pacific West,0
2020-02-25,34,South,0
2020-02-25,34,South West,0
2020-02-26,35,Mid West,0
2020-02-26,35,Mountain West,0
2020-02-26,35,North East,0
2020-02-26,35,Other,0
2020-02-26,35,Pacific West,0
2020-02-26,35,South,0
2020-02-26,35,South West,0
2020-02-27,36,Mid West,0
2020-02-27,36,Mountain West,0
2020-02-27,36,North East,0
2020-02-27,36,Other,0
2020-02-27,36,Pacific West,0
2020-02-27,36,South,0
2020-02-27,36,South West,0
2020-02-28,37,Mid West,0
2020-02-28,37,Mountain West,0
2020-02-28,37,North East,0
2020-02-28,37,Other,0
2020-02-28,37,Pacific West,0
2020-02-28,37,South,0
2020-02-28,37,South West,0
2020-02-29,38,Mid West,0
2020-02-29,38,Mountain West,0
2020-02-29,38,North East,0
2020-02-29,38,Other,0
2020-02-29,38,Pacific West,0
2020-02-29,38,South,0
2020-02-29,38,South West,0
2020-03-01,39,Mid West,0
2020-03-01,39,Mountain West,0
2020-03-01,39,North East,0
2020-03-01,39,Other,0
2020-03-01,39,Pacific West,1
2020-03-01,39,South,0
2020-03-01,39,South West,0
2020-03-02,40,Mid West,0
2020-03-02,40,Mountain West,0
2020-03-02,40,North East,0
2020-03-02,40,Other,0
2020-03-02,40,Pacific West,0
2020-03-02,40,South,0
2020-03-02,40,South West,0
2020-03-03,41,Mid West,0
2020-03-03,41,Mountain West,0
2020-03-03,41,North East,0
2020-03-03,41,Other,0
2020-03-03,41,Pacific West,5
2020-03-03,41,South,0
2020-03-03,41,South West,0
2020-03-04,42,Mid West,0
2020-03-04,42,Mountain West,0
2020-03-04,42,North East,0
2020-03-04,42,Other,0
2020-03-04,42,Pacific West,1
2020-03-04,42,South,0
2020-03-04,42,South West,0
2020-03-05,43,Mid West,0
2020-03-05,43,Mountain West,0
2020-03-05,43,North East,0
2020-03-05,43,Other,0
2020-03-05,43,Pacific West,4
2020-03-05,43,South,0
2020-03-05,43,South West,0
2020-03-06,44,Mid West,0
2020-03-06,44,Mountain West,0
2020-03-06,44,North East,0
2020-03-06,44,Other,0
2020-03-06,44,Pacific West,1
2020-03-06,44,South,0
2020-03-06,44,South West,0
2020-03-07,45,Mid West,0
2020-03-07,45,Mountain West,0
2020-03-07,45,North East,0
2020-03-07,45,Other,0
2020-03-07,45,Pacific West,2
2020-03-07,45,South,0
2020-03-07,45,South West,0
2020-03-08,46,Mid West,0
2020-03-08,46,Mountain West,0
2020-03-08,46,North East,0
2020-03-08,46,Other,0
2020-03-08,46,Pacific West,3
2020-03-08,46,South,0
2020-03-08,46,South West,0
2020-03-09,47,Mid West,0
2020-03-09,47,Mountain West,0
2020-03-09,47,North East,0
2020-03-09,47,Other,0
2020-03-09,47,Pacific West,2
2020-03-09,47,South,2
2020-03-09,47,South West,0
2020-03-10,48,Mid West,0
2020-03-10,48,Mountain West,0
2020-03-10,48,North East,0
2020-03-10,48,Other,0
2020-03-10,48,Pacific West,2
2020-03-10,48,South,0
2020-03-10,48,South West,0
2020-03-11,49,Mid West,0
2020-03-11,49,Mountain West,0
2020-03-11,49,North East,1
2020-03-11,49,Other,0
2020-03-11,49,Pacific West,4
2020-03-11,49,South,0
2020-03-11,49,South West,0
2020-03-12,50,Mid West,1
2020-03-12,50,Mountain West,0
2020-03-12,50,North East,1
2020-03-12,50,Other,0
2020-03-12,50,Pacific West,3
2020-03-12,50,South,0
2020-03-12,50,South West,0
2020-03-13,51,Mid West,1
2020-03-13,51,Mountain West,1
2020-03-13,51,North East,0
2020-03-13,51,Other,0
2020-03-13,51,Pacific West,7
2020-03-13,51,South,1
2020-03-13,51,South West,0
2020-03-14,52,Mid West,1
2020-03-14,52,Mountain West,1
2020-03-14,52,North East,0
2020-03-14,52,Other,0
2020-03-14,52,Pacific West,6
2020-03-14,52,South,0
2020-03-14,52,South West,0
2020-03-15,53,Mid West,0
2020-03-15,53,Mountain West,0
2020-03-15,53,North East,4
2020-03-15,53,Other,0
2020-03-15,53,Pacific West,2
2020-03-15,53,South,2
2020-03-15,53,South West,0
2020-03-16,54,Mid West,0
2020-03-16,54,Mountain West,0
2020-03-16,54,North East,6
2020-03-16,54,Other,0
2020-03-16,54,Pacific West,3
2020-03-16,54,South,2
2020-03-16,54,South West,0
2020-03-17,55,Mid West,1
2020-03-17,55,Mountain West,1
2020-03-17,55,North East,11
2020-03-17,55,Other,0
2020-03-17,55,Pacific West,10
2020-03-17,55,South,4
2020-03-17,55,South West,0
2020-03-18,56,Mid West,5
2020-03-18,56,Mountain West,1
2020-03-18,56,North East,16
2020-03-18,56,Other,0
2020-03-18,56,Pacific West,12
2020-03-18,56,South,3
2020-03-18,56,South West,2
2020-03-19,57,Mid West,4
2020-03-19,57,Mountain West,0
2020-03-19,57,North East,30
2020-03-19,57,Other,0
2020-03-19,57,Pacific West,18
2020-03-19,57,South,6
2020-03-19,57,South West,3
2020-03-20,58,Mid West,7
2020-03-20,58,Mountain West,2
2020-03-20,58,North East,40
2020-03-20,58,Other,1
2020-03-20,58,Pacific West,10
2020-03-20,58,South,15
2020-03-20,58,South West,0
2020-03-21,59,Mid West,14
2020-03-21,59,Mountain West,1
2020-03-21,59,North East,61
2020-03-21,59,Other,1
2020-03-21,59,Pacific West,14
2020-03-21,59,South,13
2020-03-21,59,South West,2
2020-03-22,60,Mid West,11
2020-03-22,60,Mountain West,1
2020-03-22,60,North East,59
2020-03-22,60,Other,0
2020-03-22,60,Pacific West,15
2020-03-22,60,South,16
2020-03-22,60,South West,2
2020-03-23,61,Mid West,18
2020-03-23,61,Mountain West,2
2020-03-23,61,North East,72
2020-03-23,61,Other,3
2020-03-23,61,Pacific West,13
2020-03-23,61,South,9
2020-03-23,61,South West,3
2020-03-24,62,Mid West,19
2020-03-24,62,Mountain West,2
2020-03-24,62,North East,125
2020-03-24,62,Other,1
2020-03-24,62,Pacific West,18
2020-03-24,62,South,23
2020-03-24,62,South West,1
2020-03-25,63,Mid West,33
2020-03-25,63,Mountain West,4
2020-03-25,63,North East,153
2020-03-25,63,Other,0
2020-03-25,63,Pacific West,20
2020-03-25,63,South,23
2020-03-25,63,South West,8
2020-03-26,64,Mid West,44
2020-03-26,64,Mountain West,11
2020-03-26,64,North East,197
2020-03-26,64,Other,0
2020-03-26,64,Pacific West,37
2020-03-26,64,South,41
2020-03-26,64,South West,6
2020-03-27,65,Mid West,52
2020-03-27,65,Mountain West,6
2020-03-27,65,North East,279
2020-03-27,65,Other,1
2020-03-27,65,Pacific West,31
2020-03-27,65,South,39
2020-03-27,65,South West,8
2020-03-28,66,Mid West,64
2020-03-28,66,Mountain West,13
2020-03-28,66,North East,323
2020-03-28,66,Other,3
2020-03-28,66,Pacific West,25
2020-03-28,66,South,74
2020-03-28,66,South West,17
2020-03-29,67,Mid West,77
2020-03-29,67,Mountain West,14
2020-03-29,67,North East,433
2020-03-29,67,Other,1
2020-03-29,67,Pacific West,81
2020-03-29,67,South,58
2020-03-29,67,South West,9
2020-03-30,68,Mid West,101
2020-03-30,68,Mountain West,10
2020-03-30,68,North East,430
2020-03-30,68,Other,1
2020-03-30,68,Pacific West,-8
2020-03-30,68,South,46
2020-03-30,68,South West,12
2020-03-31,69,Mid West,102
2020-03-31,69,Mountain West,11
2020-03-31,69,North East,489
2020-03-31,69,Other,7
2020-03-31,69,Pacific West,31
2020-03-31,69,South,57
2020-03-31,69,South West,14
2020-04-01,70,Mid West,158
2020-04-01,70,Mountain West,32
2020-04-01,70,North East,677
2020-04-01,70,Other,3
2020-04-01,70,Pacific West,46
2020-04-01,70,South,148
2020-04-01,70,South West,18
2020-04-02,71,Mid West,192
2020-04-02,71,Mountain West,17
2020-04-02,71,North East,823
2020-04-02,71,Other,5
2020-04-02,71,Pacific West,114
2020-04-02,71,South,93
2020-04-02,71,South West,31
2020-04-03,72,Mid West,177
2020-04-03,72,Mountain West,27
2020-04-03,72,North East,1023
2020-04-03,72,Other,4
2020-04-03,72,Pacific West,73
2020-04-03,72,South,194
2020-04-03,72,South West,17
2020-04-04,73,Mid West,212
2020-04-04,73,Mountain West,18
2020-04-04,73,North East,958
2020-04-04,73,Other,7
2020-04-04,73,Pacific West,58
2020-04-04,73,South,118
2020-04-04,73,South West,35
2020-04-05,74,Mid West,176
2020-04-05,74,Mountain West,21
2020-04-05,74,North East,1195
2020-04-05,74,Other,9
2020-04-05,74,Pacific West,51
2020-04-05,74,South,129
2020-04-05,74,South West,28
2020-04-06,75,Mid West,212
2020-04-06,75,Mountain West,14
2020-04-06,75,North East,1125
2020-04-06,75,Other,4
2020-04-06,75,Pacific West,99
2020-04-06,75,South,132
2020-04-06,75,South West,46
2020-04-07,76,Mid West,233
2020-04-07,76,Mountain West,15
2020-04-07,76,North East,1289
2020-04-07,76,Other,3
2020-04-07,76,Pacific West,58
2020-04-07,76,South,118
2020-04-07,76,South West,21
2020-04-08,77,Mid West,312
2020-04-08,77,Mountain West,58
2020-04-08,77,North East,1824
2020-04-08,77,Other,1
2020-04-08,77,Pacific West,73
2020-04-08,77,South,281
2020-04-08,77,South West,21
2020-04-09,78,Mid West,321
2020-04-09,78,Mountain West,16
2020-04-09,78,North East,1523
2020-04-09,78,Other,6
2020-04-09,78,Pacific West,86
2020-04-09,78,South,159
2020-04-09,78,South West,42
2020-04-10,79,Mid West,297
2020-04-10,79,Mountain West,45
2020-04-10,79,North East,1518
2020-04-10,79,Other,14
2020-04-10,79,Pacific West,84
2020-04-10,79,South,220
2020-04-10,79,South West,37
2020-04-11,80,Mid West,376
2020-04-11,80,Mountain West,43
2020-04-11,80,North East,1479
2020-04-11,80,Other,12
2020-04-11,80,Pacific West,56
2020-04-11,80,South,187
2020-04-11,80,South West,35
2020-04-12,81,Mid West,288
2020-04-12,81,Mountain West,38
2020-04-12,81,North East,1536
2020-04-12,81,Other,13
2020-04-12,81,Pacific West,49
2020-04-12,81,South,170
2020-04-12,81,South West,44
2020-04-13,82,Mid West,252
2020-04-13,82,Mountain West,27
2020-04-13,82,North East,1430
2020-04-13,82,Other,2
2020-04-13,82,Pacific West,56
2020-04-13,82,South,88
2020-04-13,82,South West,37
2020-04-14,83,Mid West,305
2020-04-14,83,Mountain West,16
2020-04-14,83,North East,1371
2020-04-14,83,Other,3
2020-04-14,83,Pacific West,87
2020-04-14,83,South,158
2020-04-14,83,South West,42
2020-04-15,84,Mid West,398
2020-04-15,84,Mountain West,44
2020-04-15,84,North East,1530
2020-04-15,84,Other,15
2020-04-15,84,Pacific West,85
2020-04-15,84,South,339
2020-04-15,84,South West,42
2020-04-16,85,Mid West,363
2020-04-16,85,Mountain West,40
2020-04-16,85,North East,1771
2020-04-16,85,Other,11
2020-04-16,85,Pacific West,109
2020-04-16,85,South,236
2020-04-16,85,South West,61
2020-04-17,86,Mid West,320
2020-04-17,86,Mountain West,27
2020-04-17,86,North East,1422
2020-04-17,86,Other,14
2020-04-17,86,Pacific West,118
2020-04-17,86,South,252
2020-04-17,86,South West,45
2020-04-18,87,Mid West,444
2020-04-18,87,Mountain West,26
2020-04-18,87,North East,1184
2020-04-18,87,Other,8
2020-04-18,87,Pacific West,107
2020-04-18,87,South,275
2020-04-18,87,South West,69
2020-04-19,88,Mid West,320
2020-04-19,88,Mountain West,37
2020-04-19,88,North East,1261
2020-04-19,88,Other,8
2020-04-19,88,Pacific West,119
2020-04-19,88,South,166
2020-04-19,88,South West,29
2020-04-20,89,Mid West,234
2020-04-20,89,Mountain West,19
2020-04-20,89,North East,1509
2020-04-20,89,Other,7
2020-04-20,89,Pacific West,67
2020-04-20,89,South,124
2020-04-20,89,South West,29
2020-04-21,90,Mid West,280
2020-04-21,90,Mountain West,30
2020-04-21,90,North East,1585
2020-04-21,90,Other,10
2020-04-21,90,Pacific West,59
2020-04-21,90,South,248
2020-04-21,90,South West,31
2020-04-22,91,Mid West,394
2020-04-22,91,Mountain West,49
2020-04-22,91,North East,1610
2020-04-22,91,Other,8
2020-04-22,91,Pacific West,84
2020-04-22,91,South,256
2020-04-22,91,South West,57
2020-04-23,92,Mid West,502
2020-04-23,92,Mountain West,41
2020-04-23,92,North East,1458
2020-04-23,92,Other,14
2020-04-23,92,Pacific West,151
2020-04-23,92,South,243
2020-04-23,92,South West,64
2020-04-24,93,Mid West,439
