date,time,location,growth
2020-02-24,33,Wave 3,0
2020-02-24,33,Western Europe,1
2020-02-25,34,China,150
2020-02-25,34,India,0
2020-02-25,34,Other,6
2020-02-25,34,USA,0
2020-02-25,34,Wave 3,0
2020-02-25,34,Western Europe,4
2020-02-26,35,China,70
2020-02-26,35,India,0
2020-02-26,35,Other,7
2020-02-26,35,USA,0
2020-02-26,35,Wave 3,0
2020-02-26,35,Western Europe,3
2020-02-27,36,China,52
2020-02-27,36,India,0
2020-02-27,36,Other,6
2020-02-27,36,USA,0
2020-02-27,36,Wave 3,0
2020-02-27,36,Western Europe,3
2020-02-28,37,China,29
2020-02-28,37,India,0
2020-02-28,37,Other,9
2020-02-28,37,USA,0
2020-02-28,37,Wave 3,0
2020-02-28,37,Western Europe,5
2020-02-29,38,China,44
2020-02-29,38,India,0
2020-02-29,38,Other,11
2020-02-29,38,USA,0
2020-02-29,38,Wave 3,0
2020-02-29,38,Western Europe,4
2020-03-01,39,China,47
2020-03-01,39,India,0
2020-03-01,39,Other,13
2020-03-01,39,USA,0.9
2020-03-01,39,Wave 3,0
2020-03-01,39,Western Europe,8
2020-03-02,40,China,35
2020-03-02,40,India,0
2020-03-02,40,Other,14
2020-03-02,40,USA,0
2020-03-02,40,Wave 3,0
2020-03-02,40,Western Europe,5
2020-03-03,41,China,42
2020-03-03,41,India,0
2020-03-03,41,Other,23
2020-03-03,41,USA,5
2020-03-03,41,Wave 3,0
2020-03-03,41,Western Europe,19
2020-03-04,42,China,33
2020-03-04,42,India,0
2020-03-04,42,Other,12
2020-03-04,42,USA,1
2020-03-04,42,Wave 3,0
2020-03-04,42,Western Europe,29
2020-03-05,43,China,36
2020-03-05,43,India,0
2020-03-05,43,Other,26
2020-03-05,43,USA,4
2020-03-05,43,Wave 3,0
2020-03-05,43,Western Europe,29
2020-03-06,44,China,32
2020-03-06,44,India,0
2020-03-06,44,Other,16
2020-03-06,44,USA,1
2020-03-06,44,Wave 3,0
2020-03-06,44,Western Europe,45
2020-03-07,45,China,29
2020-03-07,45,India,0
2020-03-07,45,Other,25
2020-03-07,45,USA,2
2020-03-07,45,Wave 3,0
2020-03-07,45,Western Europe,55
2020-03-08,46,China,28
2020-03-08,46,India,0
2020-03-08,46,Other,24
2020-03-08,46,USA,3
2020-03-08,46,Wave 3,0
2020-03-08,46,Western Europe,49
2020-03-09,47,China,28
2020-03-09,47,India,0
2020-03-09,47,Other,62
2020-03-09,47,USA,4
2020-03-09,47,Wave 3,0
2020-03-09,47,Western Europe,145
2020-03-10,48,China,23
2020-03-10,48,India,0
2020-03-10,48,Other,49
2020-03-10,48,USA,1
2020-03-10,48,Wave 3,0
2020-03-10,48,Western Europe,117
2020-03-11,49,China,16
2020-03-11,49,India,0
2020-03-11,49,Other,64
2020-03-11,49,USA,6
2020-03-11,49,Wave 3,0
2020-03-11,49,Western Europe,188
2020-03-12,50,China,22
2020-03-12,50,India,0.9
2020-03-12,50,Other,81
2020-03-12,50,USA,5
2020-03-12,50,Wave 3,0
2020-03-12,50,Western Europe,235
2020-03-13,51,China,11
2020-03-13,51,India,0
2020-03-13,51,Other,93
2020-03-13,51,USA,10
2020-03-13,51,Wave 3,0
2020-03-13,51,Western Europe,192
2020-03-14,52,China,8
2020-03-14,52,India,1
2020-03-14,52,Other,111
2020-03-14,52,USA,8
